# Chunk-averaged data for fix g_avg and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
50000 240 51540.000000000015
  116 0.48125 224.264 310.516
  117 0.485417 206.604 314.174
  118 0.489583 223.634 307.912
  119 0.49375 205.958 306.95
  120 0.497917 222.522 304.896
  121 0.502083 224.35 303.421
  122 0.50625 206.136 302.243
  123 0.510417 227.034 305.3
  124 0.514583 198.134 301.126
  125 0.51875 213.564 300.58
  126 0.522917 227.6 305.481
  127 0.527083 207.69 300.431
  128 0.53125 233.012 301.285
  129 0.535417 198.078 302.227
  130 0.539583 210.924 302.088
  131 0.54375 226.802 298.576
  132 0.547917 208.662 298.336
  133 0.552083 223.534 303.218
  134 0.55625 198.472 302.457
  135 0.560417 212.226 306.52
  136 0.564583 221.268 306.085
  137 0.56875 212.528 302.215
  138 0.572917 223.506 302.42
  139 0.577083 198.772 301.898
  140 0.58125 212.092 303.901
  141 0.585417 225.156 297.826
  142 0.589583 217.958 297.618
  143 0.59375 220.022 298.793
  144 0.597917 198.228 301.556
  145 0.602083 211.582 299.478
  146 0.60625 227.428 300.829
  147 0.610417 208.76 297.97
  148 0.614583 232.002 298.097
  149 0.61875 199.132 302.337
  150 0.622917 212.734 301.297
  151 0.627083 222.802 299.766
  152 0.63125 207.33 299.452
  153 0.635417 220.002 299.519
  154 0.639583 199.74 299.401
  155 0.64375 216.296 300.07
  156 0.647917 222.896 301.11
  157 0.652083 211.54 303.489
  158 0.65625 223.528 302.505
  159 0.660417 205.788 297.627
  160 0.664583 216.93 300.932
  161 0.66875 227.114 299.963
  162 0.672917 208.908 295.707
  163 0.677083 227.26 300.181
  164 0.68125 198.014 302.4
  165 0.685417 206.622 299.948
  166 0.689583 233.274 302.619
  167 0.69375 208.786 296.566
  168 0.697917 233.304 300.72
  169 0.702083 198 299.242
  170 0.70625 201.598 296.232
  171 0.710417 236.904 297.708
  172 0.714583 207.708 296.317
  173 0.71875 223.79 297.344
  174 0.722917 198 294.116
  175 0.727083 201.032 300.398
  176 0.73125 237.686 294.385
  177 0.735417 207.502 298.788
  178 0.739583 223.78 304.049
  179 0.74375 198 304.046
  180 0.747917 205.704 301.924
  181 0.752083 238.514 301.909
  182 0.75625 211.78 302.649
  183 0.760417 220.002 295.264
  184 0.764583 198 297.913
  185 0.76875 202.424 307.294
  186 0.772917 243.756 301.321
  187 0.777083 201.82 302.252
  188 0.78125 232 302.114
  189 0.785417 199.068 297.917
  190 0.789583 205.524 300.187
  191 0.79375 238.406 296.715
  192 0.797917 199.002 297.111
  193 0.802083 220 302.725
  194 0.80625 199.368 301.085
  195 0.810417 225.184 299.522
  196 0.814583 219.86 293.747
  197 0.81875 206.1 297.139
  198 0.822917 223.488 302.48
  199 0.827083 205.626 304.268
  200 0.83125 221.11 302.469
  201 0.835417 229.26 302.911
  202 0.839583 202.746 303.464
  203 0.84375 227.258 298.854
  204 0.847917 198.008 295.66
  205 0.852083 226.504 301.964
  206 0.85625 219.488 304.096
  207 0.860417 203.024 304.679
